x,RK-2,RK-3,RK-4,Solução exata
0.000000,1.000000,1.000000,1.000000,1.000000
0.100000,1.595000,1.607667,1.608933,1.609042
0.200000,2.463600,2.501228,2.505006,2.505330
0.300000,3.737128,3.820965,3.829415,3.830139
0.400000,5.609949,5.775984,5.792785,5.794226
0.500000,8.369725,8.678001,8.709318,8.712004
0.600000,12.442193,12.991673,13.047713,13.052522
0.700000,18.457446,19.409654,19.507148,19.515518
0.800000,27.348020,28.964458,29.130609,29.144880
0.900000,40.494070,43.195219,43.473954,43.497903
1.000000,59.938223,64.396273,64.858107,64.897803
1.100000,88.703570,95.987710,96.745267,96.810407
1.200000,131.264284,143.067747,144.300112,144.406121
1.300000,194.242141,213.236122,215.226967,215.398287
1.400000,287.437368,317.821512,321.018628,321.293859
1.500000,425.354305,473.711200,478.819282,479.259192
1.600000,629.459371,706.078496,714.203483,714.903482
1.700000,931.522869,1052.448411,1065.321649,1066.431159
1.800000,1378.564846,1568.758232,1589.084028,1590.836533
1.900000,2040.174972,2338.391804,2370.385535,2373.145125
2.000000,3019.345959,3485.646649,3535.866741,3540.200110
2.100000,4468.507019,5195.808938,5274.441614,5281.229263
2.200000,6613.253389,7745.078590,7867.919410,7878.527257
2.300000,9787.466015,11545.177618,11736.684395,11753.228257
2.400000,14485.288702,17209.846303,17507.837788,17533.590609
2.500000,21438.054279,25653.966822,26116.847382,26156.865631
2.600000,31728.135333,38241.323543,38959.181668,39021.267988
2.700000,46957.443294,57004.864362,58116.507507,58212.688849
2.800000,69496.807074,84975.036942,86694.116746,86842.912177
2.900000,102855.053470,126669.228601,129324.276740,129554.174141
3.000000,152225.246136,188821.358034,192917.095116,193271.877310
3.100000,225293.119281,281469.453377,287780.609754,288327.508279
3.200000,333433.559536,419576.868567,429291.664364,430133.833913
3.300000,493481.399113,625448.976544,640388.409267,641684.000480
3.400000,730352.189687,932335.653235,955288.447904,957279.751460
3.500000,1080920.947737,1389801.380355,1425035.319913,1428093.274946
3.600000,1599762.697651,2071730.278649,2125772.374825,2130464.504970
3.700000,2367648.475523,3088258.944106,3171085.185246,3178279.240537
3.800000,3504119.414774,4603564.329148,4730413.136017,4741435.129313
3.900000,5186096.392866,6862379.544183,7056514.605488,7073389.678157
4.000000,7675422.308442,10229520.079128,10526437.691920,10552257.055603
